DEBUG 26-06 11:50:38,866 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  26-06 11:50:38,876 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /mnt/ilustre/users/dna/.env/bin/spider.conf.xml
DEBUG 26-06 11:50:39,712 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 26-06 11:50:39,713 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 26-06 11:50:39,776 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 26-06 11:50:39,783 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 26-06 11:50:39,789 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 26-06 11:50:39,814 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 26-06 11:50:39,815 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 26-06 11:50:39,834 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 26-06 11:50:39,847 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 26-06 11:50:39,851 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 26-06 11:50:39,852 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 26-06 11:50:39,860 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 26-06 11:50:39,865 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 26-06 11:50:39,871 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 26-06 11:50:39,881 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 26-06 11:50:39,883 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 26-06 11:50:39,887 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 26-06 11:50:39,887 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 26-06 11:50:39,893 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 26-06 11:50:39,897 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 26-06 11:50:39,904 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 26-06 11:50:39,910 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 26-06 11:50:39,914 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 26-06 11:50:39,915 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 26-06 11:50:39,919 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 26-06 11:50:39,923 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 26-06 11:50:39,930 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 26-06 11:50:39,935 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 26-06 11:50:39,942 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 26-06 11:50:39,942 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 26-06 11:50:39,946 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 26-06 11:50:39,951 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 26-06 11:50:39,959 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 26-06 11:50:39,963 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 26-06 11:50:39,963 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 26-06 11:50:39,973 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 26-06 11:50:39,985 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 26-06 11:50:39,989 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 26-06 11:50:39,995 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 26-06 11:50:40,004 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 26-06 11:50:40,011 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 26-06 11:50:40,012 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 26-06 11:50:40,024 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 26-06 11:50:40,067 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 26-06 11:50:40,136 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 26-06 11:50:40,192 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 26-06 11:50:40,192 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 26-06 11:50:40,221 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 26-06 11:50:40,322 (PGDSpiderGUI.java:initializeGUI:250)  -init spid panel
DEBUG 26-06 11:50:40,328 (PGDSpiderGUI.java:initializeGUI:253)  -init log panel
DEBUG 26-06 11:50:40,335 (PGDSpiderGUI.java:initializeGUI:256)  -init button panel
DEBUG 26-06 11:50:41,837 (PGDSpiderGUI.java:<init>:187)  -PGD Spider up and running...
DEBUG 26-06 11:51:39,484 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 26-06 11:51:39,485 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 26-06 11:51:39,486 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 26-06 11:51:39,542 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 26-06 11:51:39,542 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 26-06 11:51:39,543 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 26-06 11:51:39,543 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 26-06 11:51:39,544 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 26-06 11:51:39,545 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 26-06 11:51:39,546 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 26-06 11:51:39,546 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 26-06 11:51:39,547 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 26-06 11:51:39,548 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 26-06 11:51:39,548 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 26-06 11:51:39,549 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 26-06 11:51:39,549 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 26-06 11:51:39,550 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 26-06 11:51:39,550 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 26-06 11:51:39,551 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 26-06 11:51:39,551 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 26-06 11:51:39,552 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 26-06 11:51:39,552 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 26-06 11:51:39,553 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 26-06 11:51:39,553 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
