DEBUG 22-02 13:41:22,986 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  22-02 13:41:23,006 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /mnt/ilustre/users/dna/.env/bin/spider.conf.xml
DEBUG 22-02 13:41:24,784 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 22-02 13:41:24,786 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 22-02 13:41:24,839 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 22-02 13:41:24,846 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 22-02 13:41:24,853 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 22-02 13:41:24,877 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 22-02 13:41:24,878 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 22-02 13:41:24,890 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 22-02 13:41:24,902 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 22-02 13:41:24,907 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 22-02 13:41:24,908 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 22-02 13:41:24,916 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 22-02 13:41:24,921 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 22-02 13:41:24,927 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 22-02 13:41:24,936 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 22-02 13:41:24,938 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 22-02 13:41:24,941 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 22-02 13:41:24,942 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 22-02 13:41:24,947 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 22-02 13:41:24,951 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 22-02 13:41:24,958 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 22-02 13:41:24,964 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
