DEBUG 10-01 18:04:26,613 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
INFO  10-01 18:04:26,621 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /mnt/ilustre/users/dna/Environment/biotools/PGDSpider/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 10-01 18:04:28,444 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 10-01 18:04:28,446 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 10-01 18:04:28,514 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 10-01 18:04:28,520 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 10-01 18:04:28,527 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 10-01 18:04:28,551 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 10-01 18:04:28,552 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 10-01 18:04:28,565 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 10-01 18:04:28,577 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 10-01 18:04:28,582 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 10-01 18:04:28,583 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 10-01 18:04:28,590 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 10-01 18:04:28,596 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 10-01 18:04:28,601 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 10-01 18:04:28,610 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 10-01 18:04:28,613 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 10-01 18:04:28,616 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 10-01 18:04:28,617 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 10-01 18:04:28,622 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 10-01 18:04:28,626 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 10-01 18:04:28,633 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 10-01 18:04:28,638 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 10-01 18:04:28,643 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 10-01 18:04:28,643 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 10-01 18:04:28,648 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 10-01 18:04:28,651 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 10-01 18:04:28,658 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 10-01 18:04:28,663 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
