Name	Unmodified%	NHEJ%	HDR%	Mixed_HDR-NHEJ%	Reads_aligned	Reads_total
R1	NA	NA	NA	NA	NA	0
R2	NA	NA	NA	NA	NA	0
R3	NA	NA	NA	NA	NA	0
R4	NA	NA	NA	NA	NA	0
R5	91.66666666666666	8.333333333333332	0.0	0.0	12.0	38
R6	NA	NA	NA	NA	NA	0
R7	NA	NA	NA	NA	NA	0
R8	67.5	32.5	0.0	0.0	80.0	224
R9	91.66666666666666	8.333333333333332	0.0	0.0	12.0	38
R10	NA	NA	NA	NA	NA	0
R11	NA	NA	NA	NA	NA	0
R12	67.5	32.5	0.0	0.0	80.0	224
R13	NA	NA	NA	NA	NA	0
R14	NA	NA	NA	NA	NA	0
R15	100.0	0.0	0.0	0.0	3.0	6
R16	100.0	0.0	0.0	0.0	3.0	6
R17	100.0	0.0	0.0	0.0	31.0	31
R18	NA	NA	NA	NA	NA	0
R19	NA	NA	NA	NA	NA	0
R20	NA	NA	NA	NA	NA	0
R21	100.0	0.0	0.0	0.0	28.0	28
R22	94.73684210526315	5.263157894736842	0.0	0.0	19.0	19
R23	100.0	0.0	0.0	0.0	25.0	25
R24	67.5	32.5	0.0	0.0	80.0	224
R25	NA	NA	NA	NA	NA	0
R26	NA	NA	NA	NA	NA	0
R27	91.66666666666666	8.333333333333332	0.0	0.0	12.0	38
R28	68.0	32.0	0.0	0.0	25.0	25
R29	100.0	0.0	0.0	0.0	22.0	22
R30	94.73684210526315	5.263157894736842	0.0	0.0	19.0	69
R31	63.1578947368421	36.84210526315789	0.0	0.0	38.0	48
R32	100.0	0.0	0.0	0.0	11.0	11
R33	NA	NA	NA	NA	NA	0
R34	0.0	100.0	0.0	0.0	6.0	7
R35	NA	NA	NA	NA	NA	0
R36	NA	NA	NA	NA	NA	0
R37	67.5	32.5	0.0	0.0	80.0	224
R38	NA	NA	NA	NA	NA	0
R39	NA	NA	NA	NA	NA	0
R40	91.66666666666666	8.333333333333332	0.0	0.0	12.0	38
R41	NA	NA	NA	NA	NA	0
R42	NA	NA	NA	NA	NA	0
R43	100.0	0.0	0.0	0.0	10.0	10
R44	NA	NA	NA	NA	NA	0
R45	56.52173913043478	43.47826086956522	0.0	0.0	23.0	25
R46	100.0	0.0	0.0	0.0	41.0	41
R47	100.0	0.0	0.0	0.0	10.0	10
R48	67.5	32.5	0.0	0.0	80.0	224
R49	NA	NA	NA	NA	NA	0
R50	NA	NA	NA	NA	NA	0
R51	91.66666666666666	8.333333333333332	0.0	0.0	12.0	38
R52	100.0	0.0	0.0	0.0	26.0	26
R53	100.0	0.0	0.0	0.0	18.0	18
R54	100.0	0.0	0.0	0.0	23.0	23
R55	NA	NA	NA	NA	NA	0
R56	NA	NA	NA	NA	NA	0
R57	100.0	0.0	0.0	0.0	36.0	36
R58	61.111111111111114	38.88888888888889	0.0	0.0	18.0	19
R59	NA	NA	NA	NA	NA	0
R60	96.29629629629629	3.7037037037037033	0.0	0.0	27.0	29
R61	NA	NA	NA	NA	NA	0
R62	NA	NA	NA	NA	NA	0
R63	NA	NA	NA	NA	NA	0
R64	NA	NA	NA	NA	NA	0
R65	88.88888888888889	11.11111111111111	0.0	0.0	27.0	27
R66	NA	NA	NA	NA	NA	0
R67	100.0	0.0	0.0	0.0	36.0	36
R68	61.111111111111114	38.88888888888889	0.0	0.0	18.0	19
R69	NA	NA	NA	NA	NA	0
R70	96.29629629629629	3.7037037037037033	0.0	0.0	27.0	29
R71	NA	NA	NA	NA	NA	0
R72	67.5	32.5	0.0	0.0	80.0	224
R73	NA	NA	NA	NA	NA	0
R74	NA	NA	NA	NA	NA	0
R75	91.66666666666666	8.333333333333332	0.0	0.0	12.0	38
R76	100.0	0.0	0.0	0.0	34.0	34
R77	NA	NA	NA	NA	NA	0
R78	88.88888888888889	11.11111111111111	0.0	0.0	27.0	27
R79	50.0	50.0	0.0	0.0	2.0	2
R80	100.0	0.0	0.0	0.0	17.0	17
R81	100.0	0.0	0.0	0.0	22.0	25
R82	100.0	0.0	0.0	0.0	17.0	17
R83	100.0	0.0	0.0	0.0	22.0	25
R84	NA	NA	NA	NA	NA	0
R85	NA	NA	NA	NA	NA	0
R86	94.87179487179486	5.128205128205128	0.0	0.0	39.0	120
R87	100.0	0.0	0.0	0.0	14.0	14
R88	91.66666666666666	8.333333333333332	0.0	0.0	12.0	38
R89	NA	NA	NA	NA	NA	0
R90	NA	NA	NA	NA	NA	0
R91	67.5	32.5	0.0	0.0	80.0	224
