Name	Unmodified%	NHEJ%	HDR%	Mixed_HDR-NHEJ%	Reads_aligned	Reads_total
R1	NA	NA	NA	NA	NA	0
R2	NA	NA	NA	NA	NA	0
R3	NA	NA	NA	NA	NA	0
R4	NA	NA	NA	NA	NA	0
R5	100.0	0.0	0.0	0.0	10.0	79
R6	NA	NA	NA	NA	NA	0
R7	NA	NA	NA	NA	NA	0
R8	75.70093457943925	24.299065420560748	0.0	0.0	107.0	280
R9	100.0	0.0	0.0	0.0	10.0	79
R10	NA	NA	NA	NA	NA	0
R11	NA	NA	NA	NA	NA	0
R12	75.70093457943925	24.299065420560748	0.0	0.0	107.0	280
R13	NA	NA	NA	NA	NA	0
R14	NA	NA	NA	NA	NA	0
R15	100.0	0.0	0.0	0.0	3.0	3
R16	100.0	0.0	0.0	0.0	3.0	3
R17	100.0	0.0	0.0	0.0	14.0	14
R18	NA	NA	NA	NA	NA	0
R19	NA	NA	NA	NA	NA	0
R20	NA	NA	NA	NA	NA	0
R21	96.42857142857143	3.571428571428571	0.0	0.0	28.0	28
R22	100.0	0.0	0.0	0.0	24.0	24
R23	100.0	0.0	0.0	0.0	21.0	21
R24	75.70093457943925	24.299065420560748	0.0	0.0	107.0	280
R25	NA	NA	NA	NA	NA	0
R26	NA	NA	NA	NA	NA	0
R27	100.0	0.0	0.0	0.0	10.0	79
R28	54.54545454545454	45.45454545454545	0.0	0.0	33.0	33
R29	100.0	0.0	0.0	0.0	24.0	24
R30	100.0	0.0	0.0	0.0	9.0	56
R31	66.66666666666666	33.33333333333333	0.0	0.0	30.0	33
R32	100.0	0.0	0.0	0.0	11.0	12
R33	NA	NA	NA	NA	NA	0
R34	0.0	100.0	0.0	0.0	8.0	21
R35	NA	NA	NA	NA	NA	0
R36	NA	NA	NA	NA	NA	0
R37	75.70093457943925	24.299065420560748	0.0	0.0	107.0	280
R38	NA	NA	NA	NA	NA	0
R39	NA	NA	NA	NA	NA	0
R40	100.0	0.0	0.0	0.0	10.0	79
R41	NA	NA	NA	NA	NA	0
R42	NA	NA	NA	NA	NA	0
R43	100.0	0.0	0.0	0.0	16.0	16
R44	NA	NA	NA	NA	NA	0
R45	53.125	46.875	0.0	0.0	32.0	32
R46	100.0	0.0	0.0	0.0	27.0	27
R47	100.0	0.0	0.0	0.0	16.0	16
R48	75.70093457943925	24.299065420560748	0.0	0.0	107.0	280
R49	NA	NA	NA	NA	NA	0
R50	NA	NA	NA	NA	NA	0
R51	100.0	0.0	0.0	0.0	10.0	79
R52	100.0	0.0	0.0	0.0	32.0	32
R53	100.0	0.0	0.0	0.0	27.0	27
R54	100.0	0.0	0.0	0.0	15.0	15
R55	NA	NA	NA	NA	NA	0
R56	100.0	0.0	0.0	0.0	1.0	1
R57	100.0	0.0	0.0	0.0	31.0	31
R58	58.333333333333336	41.66666666666667	0.0	0.0	12.0	15
R59	NA	NA	NA	NA	NA	0
R60	100.0	0.0	0.0	0.0	27.0	29
R61	NA	NA	NA	NA	NA	0
R62	NA	NA	NA	NA	NA	0
R63	NA	NA	NA	NA	NA	0
R64	NA	NA	NA	NA	NA	0
R65	96.0	4.0	0.0	0.0	25.0	25
R66	100.0	0.0	0.0	0.0	1.0	1
R67	100.0	0.0	0.0	0.0	31.0	31
R68	58.333333333333336	41.66666666666667	0.0	0.0	12.0	15
R69	NA	NA	NA	NA	NA	0
R70	100.0	0.0	0.0	0.0	27.0	29
R71	NA	NA	NA	NA	NA	0
R72	75.70093457943925	24.299065420560748	0.0	0.0	107.0	280
R73	NA	NA	NA	NA	NA	0
R74	NA	NA	NA	NA	NA	0
R75	100.0	0.0	0.0	0.0	10.0	79
R76	100.0	0.0	0.0	0.0	26.0	26
R77	NA	NA	NA	NA	NA	0
R78	96.0	4.0	0.0	0.0	25.0	25
R79	100.0	0.0	0.0	0.0	2.0	2
R80	100.0	0.0	0.0	0.0	10.0	10
R81	100.0	0.0	0.0	0.0	30.0	30
R82	100.0	0.0	0.0	0.0	10.0	10
R83	100.0	0.0	0.0	0.0	30.0	30
R84	NA	NA	NA	NA	NA	0
R85	NA	NA	NA	NA	NA	0
R86	100.0	0.0	0.0	0.0	34.0	137
R87	100.0	0.0	0.0	0.0	22.0	22
R88	100.0	0.0	0.0	0.0	10.0	79
R89	NA	NA	NA	NA	NA	0
R90	NA	NA	NA	NA	NA	0
R91	75.70093457943925	24.299065420560748	0.0	0.0	107.0	280
R92	75.70093457943925	24.299065420560748	0.0	0.0	107.0	280
R93	NA	NA	NA	NA	NA	0
