Name	Unmodified%	NHEJ%	HDR%	Mixed_HDR-NHEJ%	Reads_aligned	Reads_total
R1	NA	NA	NA	NA	NA	0
R2	NA	NA	NA	NA	NA	0
R3	NA	NA	NA	NA	NA	0
R4	NA	NA	NA	NA	NA	0
R5	92.85714285714286	7.142857142857142	0.0	0.0	14.0	61
R6	NA	NA	NA	NA	NA	0
R7	NA	NA	NA	NA	NA	0
R8	65.0	35.0	0.0	0.0	60.0	197
R9	92.85714285714286	7.142857142857142	0.0	0.0	14.0	61
R10	NA	NA	NA	NA	NA	0
R11	NA	NA	NA	NA	NA	0
R12	65.0	35.0	0.0	0.0	60.0	197
R13	NA	NA	NA	NA	NA	0
R14	NA	NA	NA	NA	NA	0
R15	75.0	25.0	0.0	0.0	4.0	6
R16	75.0	25.0	0.0	0.0	4.0	6
R17	95.0	5.0	0.0	0.0	20.0	20
R18	NA	NA	NA	NA	NA	0
R19	NA	NA	NA	NA	NA	0
R20	NA	NA	NA	NA	NA	0
R21	96.15384615384616	3.8461538461538463	0.0	0.0	26.0	26
R22	100.0	0.0	0.0	0.0	17.0	17
R23	100.0	0.0	0.0	0.0	30.0	30
R24	65.0	35.0	0.0	0.0	60.0	197
R25	NA	NA	NA	NA	NA	0
R26	NA	NA	NA	NA	NA	0
R27	92.85714285714286	7.142857142857142	0.0	0.0	14.0	61
R28	70.83333333333334	29.166666666666668	0.0	0.0	24.0	24
R29	100.0	0.0	0.0	0.0	22.0	22
R30	83.33333333333334	16.666666666666664	0.0	0.0	12.0	53
R31	73.68421052631578	26.31578947368421	0.0	0.0	38.0	43
R32	90.9090909090909	9.090909090909092	0.0	0.0	11.0	12
R33	NA	NA	NA	NA	NA	0
R34	0.0	100.0	0.0	0.0	10.0	19
R35	NA	NA	NA	NA	NA	0
R36	NA	NA	NA	NA	NA	0
R37	65.0	35.0	0.0	0.0	60.0	197
R38	NA	NA	NA	NA	NA	0
R39	NA	NA	NA	NA	NA	0
R40	92.85714285714286	7.142857142857142	0.0	0.0	14.0	61
R41	NA	NA	NA	NA	NA	0
R42	NA	NA	NA	NA	NA	0
R43	100.0	0.0	0.0	0.0	7.0	7
R44	NA	NA	NA	NA	NA	0
R45	72.0	28.000000000000004	0.0	0.0	25.0	25
R46	96.96969696969697	3.0303030303030303	0.0	0.0	33.0	33
R47	100.0	0.0	0.0	0.0	7.0	7
R48	65.0	35.0	0.0	0.0	60.0	197
R49	NA	NA	NA	NA	NA	0
R50	NA	NA	NA	NA	NA	0
R51	92.85714285714286	7.142857142857142	0.0	0.0	14.0	61
R52	100.0	0.0	0.0	0.0	14.0	14
R53	100.0	0.0	0.0	0.0	31.0	31
R54	100.0	0.0	0.0	0.0	14.0	14
R55	NA	NA	NA	NA	NA	0
R56	NA	NA	NA	NA	NA	0
R57	93.33333333333333	6.666666666666667	0.0	0.0	30.0	30
R58	57.14285714285714	42.857142857142854	0.0	0.0	7.0	9
R59	NA	NA	NA	NA	NA	0
R60	100.0	0.0	0.0	0.0	24.0	26
R61	NA	NA	NA	NA	NA	0
R62	NA	NA	NA	NA	NA	0
R63	NA	NA	NA	NA	NA	0
R64	NA	NA	NA	NA	NA	0
R65	100.0	0.0	0.0	0.0	15.0	15
R66	NA	NA	NA	NA	NA	0
R67	93.33333333333333	6.666666666666667	0.0	0.0	30.0	30
R68	57.14285714285714	42.857142857142854	0.0	0.0	7.0	9
R69	NA	NA	NA	NA	NA	0
R70	100.0	0.0	0.0	0.0	24.0	26
R71	NA	NA	NA	NA	NA	0
R72	65.0	35.0	0.0	0.0	60.0	197
R73	NA	NA	NA	NA	NA	0
R74	NA	NA	NA	NA	NA	0
R75	92.85714285714286	7.142857142857142	0.0	0.0	14.0	61
R76	100.0	0.0	0.0	0.0	32.0	32
R77	NA	NA	NA	NA	NA	0
R78	100.0	0.0	0.0	0.0	15.0	15
R79	100.0	0.0	0.0	0.0	1.0	1
R80	100.0	0.0	0.0	0.0	14.0	14
R81	96.66666666666667	3.3333333333333335	0.0	0.0	30.0	30
R82	100.0	0.0	0.0	0.0	14.0	14
R83	96.66666666666667	3.3333333333333335	0.0	0.0	30.0	30
R84	NA	NA	NA	NA	NA	0
R85	NA	NA	NA	NA	NA	0
R86	100.0	0.0	0.0	0.0	37.0	100
R87	100.0	0.0	0.0	0.0	28.0	28
R88	92.85714285714286	7.142857142857142	0.0	0.0	14.0	61
R89	NA	NA	NA	NA	NA	0
R90	NA	NA	NA	NA	NA	0
R91	65.0	35.0	0.0	0.0	60.0	197
