# amplicon position	effect
1	1.052631578947368496e+01
2	0.000000000000000000e+00
3	2.631578947368420884e+01
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	1.052631578947368496e+01
10	0.000000000000000000e+00
11	5.263157894736842479e+00
12	2.105263157894736992e+01
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	3.157894736842105132e+01
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	3.157894736842105132e+01
21	0.000000000000000000e+00
22	0.000000000000000000e+00
