# amplicon position	effect
1	2.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	2.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	8.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	1.000000000000000000e+01
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	1.000000000000000000e+01
21	0.000000000000000000e+00
22	0.000000000000000000e+00
