# amplicon position	effect
1	0.000000000000000000e+00
2	1.000000000000000000e+00
3	1.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	1.000000000000000000e+00
7	9.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	1.000000000000000000e+00
11	0.000000000000000000e+00
12	2.000000000000000000e+00
13	8.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	2.000000000000000000e+00
21	1.000000000000000000e+00
22	0.000000000000000000e+00
