# amplicon position	effect
1	4.347826086956521507e+00
2	0.000000000000000000e+00
3	2.608695652173912904e+01
4	2.608695652173912904e+01
5	2.608695652173912904e+01
6	1.739130434782608603e+01
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	2.608695652173912904e+01
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	1.304347826086956452e+01
20	8.695652173913043015e+00
21	1.304347826086956452e+01
22	0.000000000000000000e+00
