# amplicon position	effect
1	6.666666666666666963e+00
2	0.000000000000000000e+00
3	3.000000000000000000e+01
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	6.666666666666666963e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	2.666666666666666785e+01
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	3.333333333333333570e+01
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	3.333333333333333570e+01
21	0.000000000000000000e+00
22	0.000000000000000000e+00
