# amplicon position	effect
1	0.000000000000000000e+00
2	1.401869158878504606e+01
3	9.345794392523364413e-01
4	9.345794392523364413e-01
5	9.345794392523364413e-01
6	2.803738317757009213e+00
7	1.308411214953271084e+01
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	8.411214953271027639e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	7.476635514018691531e+00
21	6.542056074766355422e+00
22	7.476635514018691531e+00
